StudentKey,StudentID,StudentName,ProgramMajor,StartYear,StudentType,ResidencyStatus,ScholarshipPercent,State,Status
313,S00313,Julian Wilson,Radiologic Sciences,2025,Undergraduate,Out-of-State,30,GA,Active
314,S00314,Michael Green,Biomedical Sciences,2025,Undergraduate,Out-of-State,30,VA,Leave of Absence
315,S00315,Ava Smith,Biomedical Sciences,2026,Undergraduate,In-State,40,TN,Active
316,S00316,Zoey Thomas,Health Informatics,2025,Undergraduate,In-State,20,NC,Leave of Absence
317,S00317,Julian Robinson,Biomedical Sciences,2023,Undergraduate,In-State,30,FL,Active
318,S00318,Amelia Young,Health Informatics,2023,Undergraduate,In-State,0,TX,Active
319,S00319,Ella Smith,Biomedical Sciences,2025,Undergraduate,In-State,20,NC,Active
320,S00320,Michael Garcia,Biomedical Sciences,2024,Undergraduate,In-State,0,FL,Active
321,S00321,Leo Johnson,Pre-Med,2024,Graduate,Out-of-State,0,FL,Active
322,S00322,James Allen,Biomedical Sciences,2024,Graduate,In-State,10,TN,Active
323,S00323,Mia Brown,Public Health,2025,Undergraduate,In-State,25,NC,Active
324,S00324,Olivia Baker,Radiologic Sciences,2023,Certificate,In-State,30,VA,Active
325,S00325,Charlotte Hall,Radiologic Sciences,2026,Undergraduate,In-State,0,NC,Active
326,S00326,Abigail Lee,Public Health,2026,Undergraduate,In-State,10,TX,Active
327,S00327,Evelyn Nelson,Radiologic Sciences,2025,Undergraduate,In-State,10,SC,Active
328,S00328,Aria Rodriguez,Healthcare Administration,2024,Graduate,Out-of-State,0,SC,Active
329,S00329,Sebastian Johnson,Radiologic Sciences,2023,Undergraduate,In-State,0,TN,Leave of Absence
330,S00330,Chloe Lewis,Radiologic Sciences,2024,Graduate,In-State,0,GA,Active
331,S00331,Harper Thomas,Nursing,2023,Undergraduate,Out-of-State,15,TN,Active
332,S00332,Michael Smith,Biomedical Sciences,2024,Undergraduate,In-State,15,GA,Active
333,S00333,Lucas Wilson,Radiologic Sciences,2025,Undergraduate,International,0,TX,Active
334,S00334,Evelyn Rodriguez,Pre-Med,2023,Undergraduate,In-State,30,FL,Active
335,S00335,Benjamin Davis,Nursing,2024,Undergraduate,In-State,30,VA,Active
336,S00336,Wyatt Harris,Pre-Med,2025,Undergraduate,In-State,0,FL,Active
337,S00337,Zoey Martin,Radiologic Sciences,2023,Undergraduate,International,0,AL,Active
338,S00338,Mateo Lewis,Nursing,2026,Certificate,In-State,20,NC,Active
339,S00339,Mia Hill,Biomedical Sciences,2023,Undergraduate,Out-of-State,0,FL,Active
340,S00340,Evelyn Patel,Health Informatics,2025,Undergraduate,In-State,0,FL,Active
341,S00341,Chloe Jackson,Public Health,2024,Undergraduate,In-State,15,GA,Leave of Absence
342,S00342,Levi Davis,Radiologic Sciences,2023,Undergraduate,In-State,40,FL,Active
343,S00343,Olivia King,Healthcare Administration,2025,Undergraduate,In-State,0,AL,Active
344,S00344,Levi Anderson,Public Health,2025,Certificate,In-State,30,VA,Leave of Absence
345,S00345,Julian Anderson,Biomedical Sciences,2024,Undergraduate,In-State,25,FL,Active
346,S00346,Hannah Clark,Biomedical Sciences,2023,Undergraduate,In-State,25,TX,Active
347,S00347,Lucas Baker,Pre-Med,2026,Graduate,In-State,0,TX,Active
348,S00348,Noah Jackson,Healthcare Administration,2026,Undergraduate,Out-of-State,0,GA,Active
349,S00349,Isabella Walker,Nursing,2023,Undergraduate,In-State,10,TX,Active
350,S00350,Grace Walker,Biomedical Sciences,2025,Undergraduate,Out-of-State,15,SC,Active
351,S00351,Elijah Miller,Healthcare Administration,2023,Undergraduate,In-State,0,AL,Active
352,S00352,Grace Hall,Nursing,2025,Undergraduate,Out-of-State,15,AL,Active
353,S00353,James Smith,Pre-Med,2025,Certificate,In-State,10,VA,Active
354,S00354,Sophia White,Public Health,2026,Graduate,In-State,15,TX,Active
355,S00355,Liam Walker,Healthcare Administration,2026,Graduate,Out-of-State,10,GA,Active
356,S00356,Mia Miller,Nursing,2023,Undergraduate,In-State,0,SC,Active
357,S00357,Levi Smith,Radiologic Sciences,2025,Undergraduate,In-State,0,SC,Active
358,S00358,Isabella Smith,Healthcare Administration,2025,Undergraduate,In-State,30,FL,Active
359,S00359,Penelope Allen,Healthcare Administration,2026,Graduate,In-State,25,TN,Active
360,S00360,Jack Thomas,Pre-Med,2025,Undergraduate,Out-of-State,0,FL,Leave of Absence
361,S00361,Avery Roberts,Pre-Med,2025,Graduate,Out-of-State,40,AL,Active
362,S00362,Sophia Martin,Health Informatics,2024,Undergraduate,In-State,40,SC,Active
363,S00363,Liam Lee,Healthcare Administration,2025,Graduate,Out-of-State,30,VA,Leave of Absence
364,S00364,Mateo Martinez,Health Informatics,2025,Undergraduate,In-State,20,SC,Active
365,S00365,Ella Rodriguez,Healthcare Administration,2026,Graduate,In-State,50,SC,Active
366,S00366,Mia White,Biomedical Sciences,2024,Undergraduate,Out-of-State,0,SC,Leave of Absence
367,S00367,Daniel Clark,Healthcare Administration,2024,Undergraduate,In-State,50,VA,Active
368,S00368,Abigail Nguyen,Biomedical Sciences,2025,Certificate,International,0,SC,Active
369,S00369,Hannah Garcia,Pre-Med,2026,Undergraduate,In-State,0,SC,Leave of Absence
370,S00370,Mason Nguyen,Radiologic Sciences,2026,Undergraduate,In-State,50,SC,Active
371,S00371,Henry Taylor,Healthcare Administration,2025,Undergraduate,In-State,0,NC,Active
372,S00372,Wyatt Lewis,Nursing,2025,Undergraduate,International,0,VA,Active
373,S00373,Grace Miller,Pre-Med,2026,Graduate,In-State,0,VA,Active
374,S00374,Abigail Taylor,Health Informatics,2025,Undergraduate,In-State,0,FL,Leave of Absence
375,S00375,Michael Hill,Nursing,2024,Certificate,In-State,50,SC,Leave of Absence
376,S00376,Mia Scott,Pre-Med,2025,Undergraduate,In-State,20,VA,Active
377,S00377,Sophia Robinson,Health Informatics,2023,Undergraduate,In-State,10,GA,Active
378,S00378,Harper Brown,Biomedical Sciences,2023,Undergraduate,Out-of-State,30,TN,Active
379,S00379,Chloe Scott,Health Informatics,2025,Graduate,Out-of-State,0,AL,Leave of Absence
380,S00380,Mason Moore,Health Informatics,2023,Undergraduate,In-State,0,VA,Active
381,S00381,Mia Johnson,Public Health,2024,Undergraduate,In-State,0,GA,Active
382,S00382,Sebastian Roberts,Health Informatics,2023,Undergraduate,In-State,50,TN,Active
383,S00383,Emma Brown,Public Health,2024,Undergraduate,Out-of-State,40,TX,Active
384,S00384,Scarlett White,Nursing,2023,Undergraduate,International,40,AL,Active
385,S00385,Emma Lewis,Nursing,2026,Undergraduate,In-State,50,AL,Active
386,S00386,Mia Nguyen,Pre-Med,2024,Undergraduate,In-State,30,GA,Active
387,S00387,Michael Wright,Health Informatics,2025,Undergraduate,Out-of-State,25,NC,Active
388,S00388,Daniel Lewis,Pre-Med,2026,Undergraduate,In-State,30,AL,Active
389,S00389,Mason Martin,Radiologic Sciences,2023,Undergraduate,In-State,0,VA,Active
390,S00390,Chloe Campbell,Pre-Med,2023,Undergraduate,Out-of-State,25,AL,Leave of Absence
391,S00391,Evelyn Wright,Public Health,2023,Undergraduate,In-State,40,NC,Active
392,S00392,Nora Taylor,Pre-Med,2024,Undergraduate,In-State,0,TN,Active
393,S00393,Zoey Anderson,Healthcare Administration,2024,Certificate,In-State,20,GA,Active
394,S00394,Daniel Nelson,Health Informatics,2025,Undergraduate,Out-of-State,30,FL,Leave of Absence
395,S00395,Abigail Baker,Healthcare Administration,2026,Undergraduate,Out-of-State,0,NC,Leave of Absence
396,S00396,Abigail Campbell,Healthcare Administration,2023,Undergraduate,International,0,TX,Active
397,S00397,Jack Hall,Public Health,2026,Graduate,International,50,AL,Active
398,S00398,Benjamin Martin,Health Informatics,2024,Certificate,International,25,FL,Active
399,S00399,Henry White,Nursing,2026,Undergraduate,In-State,0,VA,Active
400,S00400,Scarlett Martin,Healthcare Administration,2026,Undergraduate,In-State,0,TX,Active
401,S00401,Grace Martin,Biomedical Sciences,2026,Certificate,In-State,10,AL,Active
402,S00402,Chloe Scott,Healthcare Administration,2025,Undergraduate,Out-of-State,0,GA,Active
403,S00403,Mateo Walker,Pre-Med,2023,Undergraduate,In-State,10,FL,Active
404,S00404,Noah King,Nursing,2025,Undergraduate,In-State,20,AL,Active
405,S00405,Michael Davis,Biomedical Sciences,2023,Undergraduate,In-State,30,AL,Active
406,S00406,Leo Campbell,Radiologic Sciences,2025,Undergraduate,In-State,15,GA,Active
407,S00407,Liam Lee,Nursing,2024,Certificate,In-State,10,SC,Active
408,S00408,Ella Hall,Radiologic Sciences,2023,Undergraduate,Out-of-State,0,NC,Leave of Absence
409,S00409,Ava Jackson,Public Health,2025,Undergraduate,Out-of-State,25,VA,Active
410,S00410,Harper Thomas,Health Informatics,2025,Graduate,International,25,GA,Active
411,S00411,Mateo Lewis,Radiologic Sciences,2025,Undergraduate,In-State,30,GA,Active
412,S00412,Ella Martinez,Healthcare Administration,2025,Undergraduate,In-State,10,NC,Active
413,S00413,Evelyn Rodriguez,Healthcare Administration,2026,Undergraduate,In-State,0,AL,Active
414,S00414,Harper Hall,Health Informatics,2026,Undergraduate,International,50,SC,Active
415,S00415,Mason Adams,Biomedical Sciences,2026,Undergraduate,Out-of-State,15,NC,Active
416,S00416,Benjamin Thompson,Nursing,2026,Undergraduate,In-State,40,NC,Active
417,S00417,Sophia Jackson,Public Health,2024,Undergraduate,Out-of-State,20,VA,Active
418,S00418,Abigail Thompson,Health Informatics,2023,Graduate,In-State,50,GA,Active
419,S00419,Elijah Green,Nursing,2026,Graduate,In-State,25,FL,Active
420,S00420,Isabella Anderson,Public Health,2026,Certificate,Out-of-State,0,VA,Active
421,S00421,Sophia Scott,Public Health,2024,Undergraduate,In-State,0,AL,Active
422,S00422,Lucas Moore,Radiologic Sciences,2024,Graduate,In-State,0,TN,Active
423,S00423,Michael Allen,Health Informatics,2026,Undergraduate,In-State,40,SC,Active
424,S00424,Ava Martinez,Healthcare Administration,2024,Undergraduate,In-State,10,SC,Active
425,S00425,Scarlett Miller,Nursing,2026,Graduate,International,15,NC,Active
426,S00426,Noah Garcia,Public Health,2026,Graduate,International,40,VA,Active
427,S00427,Isabella Robinson,Health Informatics,2025,Undergraduate,In-State,25,FL,Active
428,S00428,Mason Miller,Pre-Med,2023,Certificate,Out-of-State,0,GA,Active
429,S00429,Noah Lee,Biomedical Sciences,2025,Graduate,International,0,FL,Active
430,S00430,Liam Rodriguez,Biomedical Sciences,2023,Undergraduate,Out-of-State,25,GA,Active
431,S00431,Harper Wright,Biomedical Sciences,2024,Undergraduate,In-State,15,TN,Active
432,S00432,Wyatt Martin,Radiologic Sciences,2024,Undergraduate,In-State,40,GA,Active
433,S00433,James Brown,Health Informatics,2024,Certificate,In-State,15,SC,Active
434,S00434,Chloe Thompson,Pre-Med,2023,Graduate,Out-of-State,10,AL,Active
435,S00435,Evelyn Carter,Nursing,2023,Undergraduate,International,30,NC,Active
436,S00436,Mateo Johnson,Biomedical Sciences,2023,Undergraduate,In-State,30,TX,Active
437,S00437,Layla Rodriguez,Nursing,2024,Undergraduate,In-State,20,VA,Active
438,S00438,James Brown,Healthcare Administration,2023,Undergraduate,In-State,0,VA,Active
439,S00439,Nora Roberts,Public Health,2023,Undergraduate,In-State,0,GA,Active
440,S00440,Michael King,Public Health,2026,Graduate,Out-of-State,0,GA,Active
441,S00441,Emma Moore,Nursing,2026,Certificate,Out-of-State,50,AL,Active
442,S00442,Avery Lee,Healthcare Administration,2025,Certificate,In-State,0,AL,Active
443,S00443,James Hall,Health Informatics,2023,Undergraduate,In-State,20,FL,Active
444,S00444,Penelope Hill,Pre-Med,2025,Graduate,Out-of-State,50,GA,Active
445,S00445,Evelyn Wright,Public Health,2026,Undergraduate,Out-of-State,50,FL,Active
446,S00446,Amelia Green,Healthcare Administration,2026,Graduate,In-State,0,AL,Active
447,S00447,Evelyn Robinson,Public Health,2023,Graduate,In-State,40,TN,Active
448,S00448,Evelyn Smith,Health Informatics,2026,Certificate,Out-of-State,0,AL,Active
449,S00449,Grace Davis,Health Informatics,2023,Undergraduate,Out-of-State,25,FL,Active
450,S00450,Lillian Carter,Healthcare Administration,2023,Certificate,International,15,SC,Active
451,S00451,Henry Lewis,Healthcare Administration,2023,Undergraduate,Out-of-State,20,AL,Active
452,S00452,Nora Davis,Nursing,2024,Undergraduate,In-State,20,TX,Active
453,S00453,Wyatt Lewis,Biomedical Sciences,2023,Undergraduate,In-State,30,NC,Active
454,S00454,Mia Harris,Radiologic Sciences,2024,Undergraduate,In-State,25,SC,Active
455,S00455,Elijah Robinson,Nursing,2026,Undergraduate,International,0,AL,Active
456,S00456,Abigail Green,Pre-Med,2026,Undergraduate,Out-of-State,0,TN,Leave of Absence
457,S00457,Leo Green,Healthcare Administration,2024,Certificate,In-State,0,GA,Active
458,S00458,Sebastian Mitchell,Public Health,2026,Undergraduate,International,10,TX,Active
459,S00459,Henry Thompson,Health Informatics,2024,Undergraduate,Out-of-State,50,TX,Active
460,S00460,Grace Nelson,Biomedical Sciences,2024,Undergraduate,In-State,50,TX,Active
461,S00461,Isabella Taylor,Radiologic Sciences,2025,Undergraduate,In-State,40,AL,Leave of Absence
462,S00462,Penelope Hall,Biomedical Sciences,2025,Undergraduate,In-State,40,GA,Active
463,S00463,Daniel Wilson,Nursing,2023,Undergraduate,In-State,0,TX,Active
464,S00464,Charlotte Rodriguez,Biomedical Sciences,2025,Undergraduate,Out-of-State,0,VA,Active
465,S00465,Mia Roberts,Healthcare Administration,2024,Graduate,Out-of-State,10,TX,Active
466,S00466,Daniel Lee,Health Informatics,2025,Graduate,In-State,0,TX,Active
467,S00467,Avery Young,Healthcare Administration,2024,Undergraduate,International,40,SC,Active
468,S00468,Aria Young,Pre-Med,2023,Undergraduate,In-State,40,GA,Active
469,S00469,Noah Allen,Public Health,2025,Undergraduate,In-State,50,TX,Active
470,S00470,Henry King,Biomedical Sciences,2024,Undergraduate,In-State,20,FL,Leave of Absence
471,S00471,Scarlett Scott,Healthcare Administration,2025,Undergraduate,In-State,40,SC,Active
472,S00472,Wyatt Johnson,Healthcare Administration,2024,Undergraduate,Out-of-State,40,TN,Active
473,S00473,Jack Jackson,Pre-Med,2025,Undergraduate,In-State,15,SC,Leave of Absence
474,S00474,Wyatt Wright,Radiologic Sciences,2023,Undergraduate,In-State,30,SC,Leave of Absence
475,S00475,Avery White,Nursing,2025,Undergraduate,In-State,25,TX,Active
476,S00476,Aria Nguyen,Radiologic Sciences,2025,Graduate,Out-of-State,30,AL,Active
477,S00477,Aria Anderson,Public Health,2023,Undergraduate,In-State,40,FL,Active
478,S00478,Lucas Thomas,Healthcare Administration,2026,Undergraduate,In-State,40,TN,Active
479,S00479,Charlotte Nguyen,Health Informatics,2025,Undergraduate,In-State,0,FL,Active
480,S00480,Harper Nelson,Nursing,2024,Undergraduate,Out-of-State,25,AL,Active
481,S00481,Zoey Martinez,Nursing,2026,Undergraduate,Out-of-State,0,GA,Leave of Absence
482,S00482,Noah Johnson,Public Health,2023,Undergraduate,In-State,50,GA,Active
483,S00483,Nora Lee,Health Informatics,2023,Graduate,In-State,40,SC,Active
484,S00484,Michael Adams,Public Health,2024,Undergraduate,In-State,0,NC,Active
485,S00485,Noah Carter,Radiologic Sciences,2026,Graduate,Out-of-State,0,TX,Active
486,S00486,Jack Thomas,Health Informatics,2024,Undergraduate,In-State,10,TX,Active
487,S00487,James Taylor,Biomedical Sciences,2023,Graduate,Out-of-State,40,GA,Active
488,S00488,Olivia Harris,Nursing,2024,Certificate,Out-of-State,20,VA,Active
489,S00489,Evelyn Brown,Public Health,2023,Undergraduate,In-State,30,AL,Active
490,S00490,Avery Garcia,Biomedical Sciences,2024,Certificate,International,20,VA,Active
491,S00491,Amelia Carter,Public Health,2024,Undergraduate,Out-of-State,15,VA,Active
492,S00492,Henry Wright,Health Informatics,2026,Undergraduate,In-State,30,GA,Active
493,S00493,Sebastian Smith,Healthcare Administration,2025,Undergraduate,Out-of-State,10,TX,Active
494,S00494,Olivia Nguyen,Healthcare Administration,2023,Certificate,International,25,SC,Active
495,S00495,Lillian Harris,Radiologic Sciences,2026,Undergraduate,In-State,25,SC,Leave of Absence
496,S00496,Aria Miller,Health Informatics,2023,Undergraduate,In-State,40,FL,Active
497,S00497,Avery Moore,Healthcare Administration,2024,Graduate,In-State,0,NC,Active
498,S00498,Jack Patel,Pre-Med,2026,Undergraduate,In-State,15,VA,Active
499,S00499,Noah Thomas,Radiologic Sciences,2025,Undergraduate,Out-of-State,30,FL,Active
500,S00500,Grace Brown,Biomedical Sciences,2025,Undergraduate,International,40,NC,Active
